,city,lat,lon,population
641,Lake Wildwood,39.235,-121.2,5232
642,Myrtletown,40.789,-124.129,5222
643,Cutler,36.526,-119.288,5214
644,Twin Lakes,36.965,-121.99,5196
645,Boulder Creek,37.134,-122.127,5182
646,Broadmoor,37.691,-122.481,5170
647,Bret Harte,37.602,-121.004,5148
648,Tara Hills,37.994,-122.319,5117
649,Buellton,34.615,-120.194,5102
650,Denair,37.526,-120.799,5101
651,Guerneville,38.514,-122.989,5014
652,Mayfair,36.769,-119.761,4950
653,Lincoln Village,38.005,-121.334,4859
654,Ford City,35.165,-119.458,4753
656,Emerald Lake Hills,37.466,-122.268,4721
655,Camino Tassajara,37.791,-121.885,4721
657,Lake San Marcos,33.12,-117.209,4713
658,Brisbane,37.69,-122.402,4671
659,Oak View,34.399,-119.298,4598
660,Portola Valley,37.371,-122.22,4568
661,Santa Ynez,34.615,-120.094,4546
662,Phoenix Lake,38.008,-120.309,4511
663,Santa Venetia,38.006,-122.503,4474
664,Sunnyside,36.729,-119.694,4464
665,Bonsall,33.276,-117.194,4458
666,Mountain View Acres,34.498,-117.347,4447
667,Planada,37.289,-120.321,4418
668,Armona,36.318,-119.705,4407
669,McSwain,37.315,-120.587,4399
670,Fetters Hot Springs-Agua Caliente,38.327,-122.487,4374
671,Pacheco,37.988,-122.07,4361
672,Copperopolis,37.936,-120.628,4361
673,Del Mar,32.963,-117.263,4319
674,Humboldt Hill,40.722,-124.199,4315
675,Mather,38.549,-121.283,4272
676,Ivanhoe,36.389,-119.22,4215
677,West Menlo Park,37.434,-122.203,4160
678,Harbison Canyon,32.827,-116.838,4155
679,Carmel Valley Village,36.482,-121.72,4152
680,Lenwood,34.886,-117.108,4122
681,Del Monte Forest,36.586,-121.944,4105
682,North Richmond,37.964,-122.371,4085
