city_name,PC1,PC2,lat,lon
Agua Dulce,-1.1897867871928707,-0.08767261711447882,34.504,-118.316
Avalon,-1.5343064608389065,-0.4426884218170296,33.334,-118.332
Auburn Lake Trails,0.9974346390364743,0.3486629472490105,38.892,-120.985
Squaw Valley,-0.24513770625075332,0.27706522295487,36.694,-119.2
Moss Beach,1.0849199766851094,-0.5603281572807907,37.518,-122.504
Heber,-2.6366199423733336,0.29969312983205265,32.732,-115.52
Stallion Springs,-0.9045108239662267,-0.02019137331063514,35.094,-118.648
Meiners Oaks,-0.8920299942072283,-0.4177156629469761,34.45,-119.273
Kelseyville,1.6269040568288287,-0.23417077198677383,38.97,-122.833
Lockeford,0.8316757671305209,0.0713826828675238,38.151,-121.155
Valley Springs,0.7300196185804146,0.19276931926848428,38.184,-120.815
Oakhurst,0.09313407133672977,0.32144533095977823,37.334,-119.648
Riverdale,-0.1052809259448313,-0.020635460157915134,36.43,-119.867
San Miguel,1.0420534279724425,-0.2968388807812609,37.887,-122.037
Campo,-2.351506086313379,-0.04102482835304411,32.639,-116.474
Vandenberg AFB,-0.39457875317499175,-0.7369946197502587,34.748,-120.518
Pine Hills,2.5869707605764978,-0.14134689678412848,40.731,-124.155
Pixley,-0.43029018703867017,0.03352801316505774,35.977,-119.289
Esparto,1.278740483939687,-0.05162371833058976,38.693,-122.024
Cambrian Park,0.8179935639310597,-0.45004986019112625,37.256,-121.929
Cottonwood,1.8719902521604885,0.36975190383968515,40.39,-122.286
Colfax,1.0473257586750035,0.41954632900057875,39.094,-120.953
Hoopa,2.5410773130110957,0.11321140714337297,41.08,-123.697
Angwin,1.3844193523789428,-0.22606034746222503,38.578,-122.451
Morada,0.8280420998331648,0.008052270186210297,38.039,-121.246
Bonny Doon,0.8228416972472029,-0.5816514306097509,37.044,-122.137
Morongo Valley,-1.893922978020325,0.35817355093811465,34.072,-116.563
Lake Nacimiento,0.014743378710269872,-0.5585873711084546,35.731,-120.87
South Oroville,1.3556727980172147,0.3401925274425611,39.477,-121.544
Channel Islands Beach,-0.9954237135981872,-0.4883089727863097,34.159,-119.223
Lucerne,1.6381025019463065,-0.1855798599804398,39.07,-122.776
Oasis,-2.1998878191377025,0.33888428930195713,33.528,-116.126
East Oakdale,0.6061477937811848,0.07808160914370732,37.785,-120.801
North Shore,-2.274652069292162,0.406473816601559,33.516,-115.909
Weed,2.209301207018344,0.6440860723584142,41.413,-122.382
Hayfork,2.199945609117078,0.1440363475648121,40.561,-123.13
Alturas,1.6320726147162372,1.2673524696458598,41.49,-120.552
Sutter Creek,0.7881980125365462,0.25357174598873994,38.383,-120.811
Cabazon,-1.869294615920177,0.23848011101110367,33.913,-116.783
Georgetown,0.954242017731311,0.4032155464076967,38.911,-120.836
Edwards AFB,-1.1968176538145259,0.1585156780024245,34.904,-117.93
Idyllwild-Pine Cove,-1.9385128561342249,0.20665433768591257,33.744,-116.726
Aromas,0.6098995485772354,-0.46855750833654464,36.877,-121.64
Three Rivers,-0.42809507055263746,0.30337447159236874,36.432,-118.881
Wofford Heights,-0.7768634803833779,0.2222574037029068,35.713,-118.473
Richgrove,-0.5437973538340622,0.039414337137590016,35.797,-119.107
Portola,1.1081149463291013,0.7952194483502999,39.824,-120.473
Arnold,0.5964766482088368,0.3609901167718723,38.242,-120.355
Weedpatch,-0.7751683524064026,-0.06403506418340887,35.237,-118.912
East Sonora,0.5129626394681763,0.28666022270567393,37.978,-120.341
Sleepy Hollow,1.260152032804286,-0.44020078920834055,38.012,-122.588
Poplar-Cotton Center,-0.45259396434704285,0.10306538260124151,36.056,-119.149
Westmorland,-2.511386861445622,0.3580133752744423,33.039,-115.622
